prefecture,period,n,cases,population,population_density_km2
fukuoka,alpha,122,17492,5135214,1029.8
fukuoka,BA.5,92,630344,5135214,1029.8
fukuoka,delta,184,39281,5135214,1029.8
fukuoka,omicron,181,348957,5135214,1029.8
fukuoka,pre-alpha,410,18071,5135214,1029.8
fukuoka,sub-lineages,143,492743,5135214,1029.8
kagoshima,alpha,122,1913,1588256,172.9
kagoshima,BA.5,92,205562,1588256,172.9
kagoshima,delta,184,5503,1588256,172.9
kagoshima,omicron,181,82290,1588256,172.9
kagoshima,pre-alpha,410,1761,1588256,172.9
kagoshima,sub-lineages,143,137215,1588256,172.9
kumamoto,alpha,122,3055,1738301,234.6
kumamoto,BA.5,92,219657,1738301,234.6
kumamoto,delta,184,8063,1738301,234.6
kumamoto,omicron,181,92729,1738301,234.6
kumamoto,pre-alpha,410,3442,1738301,234.6
kumamoto,sub-lineages,143,199040,1738301,234.6
miyazaki,alpha,122,1136,1069576,138.3
miyazaki,BA.5,92,136697,1069576,138.3
miyazaki,delta,184,3059,1069576,138.3
miyazaki,omicron,181,52546,1069576,138.3
miyazaki,pre-alpha,410,1947,1069576,138.3
miyazaki,sub-lineages,143,121673,1069576,138.3
nagasaki,alpha,122,1573,1312317,317.7
nagasaki,BA.5,92,146427,1312317,317.7
nagasaki,delta,184,2959,1312317,317.7
nagasaki,omicron,181,55238,1312317,317.7
nagasaki,pre-alpha,410,1612,1312317,317.7
nagasaki,sub-lineages,143,120614,1312317,317.7
oita,alpha,122,2198,1123852,177.2
oita,BA.5,92,117697,1123852,177.2
oita,delta,184,4772,1123852,177.2
oita,omicron,181,48939,1123852,177.2
oita,pre-alpha,410,1293,1123852,177.2
oita,sub-lineages,143,123831,1123852,177.2
saga,alpha,122,1499,811442,332.5
saga,BA.5,92,100242,811442,332.5
saga,delta,184,3338,811442,332.5
saga,omicron,181,49337,811442,332.5
saga,pre-alpha,410,1057,811442,332.5
saga,sub-lineages,143,101316,811442,332.5